left_record_uid,right_record_uid,left_source,right_source,left_name,right_name,left_status,right_status,distance_m,name_score,match_rule,is_grouped_match
FracTracker:frac_row_1319,NAICS:naics_32,FracTracker,NAICS,Project LufKin: Amp Z Data Center,LUFKIN PAPER MILL,Proposed,Operating/inferred,588.083,0.167,candidate_only,False
FracTracker:frac_row_351,NAICS:naics_9,FracTracker,NAICS,Security Land and Development LLC Data Center,CONTROL DATA CORP.,Proposed,Operating/inferred,588.461,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_1236,NAICS:naics_175,FracTracker,NAICS,NV-8 CYRUSONE,INOVA HEALTH CARE SYSTEMS - IT OPERATIONS,Operating,Operating/inferred,588.57,0.0,candidate_only,False
FracTracker:frac_row_837,PNNL:building_00300163083,FracTracker,PNNL,21745 BEAUMEADE CIR,NTT Ashburn VA1 Data Center,Operating,Operating/inferred,588.733,0.0,candidate_only,False
FracTracker:frac_row_837,PNNL:building_00649319778,FracTracker,PNNL,21745 BEAUMEADE CIR,Digital Realty ACC7,Operating,Operating/inferred,588.744,0.0,candidate_only,False
FracTracker:frac_row_1029,PNNL:building_01460776171,FracTracker,PNNL,Greenlin Park,,Proposed,Operating/inferred,589.061,0.0,candidate_only,False
FracTracker:frac_row_853,PNNL:building_01188680253,FracTracker,PNNL,ASH1-BRODERICK DC2,QTS Ashburn Lockridge,Proposed,Operating/inferred,589.13,0.0,candidate_only,False
NAICS:naics_526,PNNL:building_00209073635,NAICS,PNNL,DIGITAL ALFRED  LLC,Lumen Santa Clara,Operating/inferred,Operating/inferred,589.438,0.0,candidate_only_low_specificity,False
FracTracker:frac_row_1251,PNNL:building_00744496741,FracTracker,PNNL,Thayer Road,Amazon Web Services IAD117,Proposed,Operating/inferred,589.491,0.0,candidate_only,False
FracTracker:frac_row_844,PNNL:building_00234722029,FracTracker,PNNL,44621 WAXPOOL RD,Equinix Ashburn DC2,Operating,Operating/inferred,589.708,0.0,candidate_only,False
FracTracker:frac_row_1183,PNNL:building_00460056023,FracTracker,PNNL,22660 Executive Dr Prologis,Amazon IAD16,Proposed,Operating/inferred,590.093,0.0,candidate_only,False
NAICS:naics_190,PNNL:building_00298127059,NAICS,PNNL,DUPONT FABROS TECH - ASHBURN CORP CTR,Equinix Ashburn DC1,Operating/inferred,Operating/inferred,590.237,0.143,candidate_only,False
NAICS:naics_160,PNNL:building_00435817145,NAICS,PNNL,"AMAZON DATA SERVICES, INC.IAD-10, 32, 98, 99, 118, 119, 129",CyrusOne NVA5,Operating/inferred,Operating/inferred,590.248,0.0,candidate_only_code_conflict,False
FracTracker:frac_row_1179,PNNL:building_00701923200,FracTracker,PNNL,1501 Moran Road,QTS Ashburn 1,Proposed,Operating/inferred,590.442,0.0,candidate_only,False
NAICS:naics_162,PNNL:building_00460175664,NAICS,PNNL,"AMAZON DATA SERVICES, INC. IAD-12 IAD-15 IAD-16 IAD-76 (73860)",,Operating/inferred,Operating/inferred,590.49,0.0,candidate_only,False
